DisplayName,InternalName,Type,Required,Hidden,Choices,Description,DefaultValue,Group,ReadOnlyField,MaxLength,LookupList,LookupField
Sendereihe,Folge_x003a__x0020_Sendereihe_x0,Lookup,True,False,,,,Benutzerdefinierte Spalten,True,,08c76ffb-e10b-4158-92b5-73a509a221cc,Sendereihe_x0020_berechnet
Sendungs-ID,Folge_x003a__x0020_Nr_x002e_ID,Lookup,True,False,,,,Benutzerdefinierte Spalten,True,,08c76ffb-e10b-4158-92b5-73a509a221cc,eigeneID
SocialTags,SocialTags,Note,False,False,,,,Benutzerdefinierte Spalten,False,,,
Status Unterschrift,_x0024_Resources_x003a_core_x002,Text,False,False,,,,Benutzerdefinierte Spalten,False,255,,
Tags,Tags,MultiChoice,False,False,Feiertag | Thats so me,,,Benutzerdefinierte Spalten,False,,,
Title,Title,Text,False,False,,,,Benutzerdefinierte Spalten,False,255,,
Title,LinkTitle,Computed,False,False,,,,Benutzerdefinierte Spalten,True,,,
Title,LinkTitleNoMenu,Computed,False,False,,,,Benutzerdefinierte Spalten,True,,,
Typ,DocIcon,Computed,False,False,,,,Benutzerdefinierte Spalten,True,,,
Untergeordnete Elementanzahl,ItemChildCount,Lookup,False,False,,,,Benutzerdefinierte Spalten,True,,,ItemChildCount
Untergeordnete Ordneranzahl,FolderChildCount,Lookup,False,False,,,,Benutzerdefinierte Spalten,True,,,FolderChildCount
Version,_UIVersionString,Text,False,False,,,,Benutzerdefinierte Spalten,True,255,,
YT-Geplant,YT_x002d_Geplant,DateTime,False,False,,,,Benutzerdefinierte Spalten,False,,,
YT-Kachel,YT_x002d_Kachel,Thumbnail,False,False,,,,Benutzerdefinierte Spalten,False,,,
YT-Link,YT_x002d_Link,Text,False,False,,,,Benutzerdefinierte Spalten,False,255,,
YT-Status,YT_x002d_Status,Choice,False,False,Entwurf | Abnahmebereit | Überprüft | Abgenommen | Veröffentlicht | Depubliziert | Gesperrt | Platzhalter,,Entwurf,Benutzerdefinierte Spalten,False,,,
YT-Studio,YT_x002d_Studio,Text,False,False,,,,Benutzerdefinierte Spalten,False,255,,
YT-Thumbnail A,FB_x002d_Thumbnail,Thumbnail,False,False,,,,Benutzerdefinierte Spalten,False,,,
YT-Thumbnail B,YT_x002d_ThumbnailB,Thumbnail,False,False,,,,Benutzerdefinierte Spalten,False,,,
YT-Video/Reel,YT_x002d_Video_x002f_Reel,Text,False,False,,,,Benutzerdefinierte Spalten,False,255,,
Plattform-Freigaben,PlattformFreigaben,MultiChoice,False,False,▶ YouTube | 💬 Facebook | 📷 Instagram | ❗ Siehe Hinweisfeld | TikTok 💃,Synchronisiert von der verknüpften Sendung per Flow,,Benutzerdefinierte Spalten,False,,,
